Year,Fuel_Type,Category,Generation_GWh
2008-09,Brown coal,Non-renewable,52094.0
2009-10,Brown coal,Non-renewable,51541.7
2010-11,Brown coal,Non-renewable,51066.5
2011-12,Brown coal,Non-renewable,52059.7
2012-13,Brown coal,Non-renewable,45317.6
2013-14,Brown coal,Non-renewable,43977.7
2014-15,Brown coal,Non-renewable,48336.8
2015-16,Brown coal,Non-renewable,46234.132
2016-17,Brown coal,Non-renewable,43594.098
2017-18,Brown coal,Non-renewable,36021.427
2018-19,Brown coal,Non-renewable,34495.245
2019-20,Brown coal,Non-renewable,33661.55
2020-21,Brown coal,Non-renewable,34060.028
2021-22,Brown coal,Non-renewable,32515.636
2022-23,Brown coal,Non-renewable,31459.126
2023-24,Brown coal,Non-renewable,32137.08
2008-09,Natural gas,Non-renewable,1451.9
2009-10,Natural gas,Non-renewable,1697.9
2010-11,Natural gas,Non-renewable,1289.8
2011-12,Natural gas,Non-renewable,1142.5
2012-13,Natural gas,Non-renewable,3247.7
2013-14,Natural gas,Non-renewable,3239.3
2014-15,Natural gas,Non-renewable,2390.927
2015-16,Natural gas,Non-renewable,1892.244
2016-17,Natural gas,Non-renewable,2658.739
2017-18,Natural gas,Non-renewable,3829.887
2018-19,Natural gas,Non-renewable,3334.031
2019-20,Natural gas,Non-renewable,3117.04
2020-21,Natural gas,Non-renewable,1956.916
2021-22,Natural gas,Non-renewable,2224.829
2022-23,Natural gas,Non-renewable,1693.466
2023-24,Natural gas,Non-renewable,1486.717
2008-09,Oil products,Non-renewable,20.4
2009-10,Oil products,Non-renewable,1.1
2010-11,Oil products,Non-renewable,38.2
2011-12,Oil products,Non-renewable,4.0
2012-13,Oil products,Non-renewable,10.7
2013-14,Oil products,Non-renewable,145.8
2014-15,Oil products,Non-renewable,155.95
2015-16,Oil products,Non-renewable,70.573
2016-17,Oil products,Non-renewable,109.281
2017-18,Oil products,Non-renewable,178.023
2018-19,Oil products,Non-renewable,204.659
2019-20,Oil products,Non-renewable,201.974
2020-21,Oil products,Non-renewable,179.068
2021-22,Oil products,Non-renewable,219.429
2022-23,Oil products,Non-renewable,259.086
2023-24,Oil products,Non-renewable,205.994
2008-09,"Bagasse,",Renewable,0.0
2009-10,"Bagasse,",Renewable,0.0
2010-11,"Bagasse,",Renewable,0.0
2011-12,"Bagasse,",Renewable,187.106
2012-13,"Bagasse,",Renewable,171.14
2013-14,"Bagasse,",Renewable,188.787
2014-15,"Bagasse,",Renewable,251.976
2015-16,"Bagasse,",Renewable,235.392
2016-17,"Bagasse,",Renewable,263.355
2017-18,"Bagasse,",Renewable,241.012
2018-19,"Bagasse,",Renewable,235.469
2019-20,"Bagasse,",Renewable,243.797
2020-21,"Bagasse,",Renewable,229.67
2021-22,"Bagasse,",Renewable,258.839
2022-23,"Bagasse,",Renewable,192.908
2023-24,"Bagasse,",Renewable,139.835
2008-09,Biogas,Renewable,292.0
2009-10,Biogas,Renewable,303.4
2010-11,Biogas,Renewable,339.6
2011-12,Biogas,Renewable,672.241
